City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Conditions
132,Hermanus,-34.4187,19.2345,57.9,80,97,7.27,ZA,overcast clouds
133,Chirongui,-12.9319,45.1483,75.13,67,0,7.67,YT,clear sky
134,Poum,-20.2333,164.0167,68.2,60,5,13.04,NC,clear sky
135,Koumac,-20.5667,164.2833,62.78,67,10,8.03,NC,clear sky
136,Port Keats,-14.25,129.55,75.0,87,100,3.85,AU,overcast clouds
137,Lorengau,-2.0226,147.2712,82.18,76,95,9.48,PG,overcast clouds
138,Mirnyy,62.5353,113.9611,60.24,59,100,5.75,RU,overcast clouds
139,Swan Hill,-35.3378,143.5544,42.31,75,0,7.27,AU,clear sky
140,Morondava,-20.2833,44.2833,71.17,83,1,8.48,MG,clear sky
141,Bambous Virieux,-20.3428,57.7575,70.21,75,49,17.56,MU,light rain
142,Tsiroanomandidy,-18.7667,46.0333,64.09,54,70,5.39,MG,broken clouds
143,Thyboron,56.6985,8.2124,60.19,75,14,20.96,DK,few clouds
144,Tevriz,57.509,72.4042,61.0,99,50,3.78,RU,scattered clouds
145,Maria Aurora,15.7967,121.4737,78.55,92,100,4.83,PH,moderate rain
146,Honiara,-9.4333,159.95,75.9,87,48,3.78,SB,scattered clouds
147,Gushikawa,26.3544,127.8686,81.99,88,75,11.5,JP,broken clouds
148,Vangaindrano,-23.35,47.6,65.14,90,67,4.14,MG,light rain
149,Dzaoudzi,-12.7887,45.2699,75.09,73,0,13.8,YT,clear sky
150,Brae,60.3964,-1.353,49.91,80,100,14.5,GB,overcast clouds
151,Quatre Cocos,-20.2078,57.7625,70.09,75,44,17.56,MU,light rain
152,Iisaku,59.1014,27.3081,61.9,74,51,11.21,EE,broken clouds
153,Port Lincoln,-34.7333,135.8667,52.0,49,5,21.74,AU,clear sky
154,Noyabrsk,63.1994,75.4507,59.76,64,100,10.51,RU,overcast clouds
155,Nabire,-3.3667,135.4833,75.34,91,99,3.24,ID,overcast clouds
156,Saint-Leu,-21.15,55.2833,68.83,69,20,2.24,RE,few clouds
157,Atambua,-9.1061,124.8925,70.56,86,77,5.28,ID,broken clouds
158,Borazjan,29.2666,51.2159,99.46,19,0,3.67,IR,clear sky
159,Pevek,69.7008,170.3133,33.12,98,100,12.06,RU,overcast clouds
160,Griffith,41.5284,-87.4237,79.5,60,1,1.99,US,clear sky
161,Gamba,-2.65,10.0,74.23,84,100,7.27,GA,overcast clouds
162,Lahat,-3.8,103.5333,71.24,97,93,2.64,ID,light rain
163,Sergeyevka,53.88,67.4158,69.28,74,5,7.25,KZ,clear sky
164,Muli,2.9167,73.5667,82.69,70,99,7.11,MV,overcast clouds
165,Si Bun Ruang,16.9667,102.2833,78.01,80,100,3.76,TH,overcast clouds
