City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
303,Parbatipur,BD,79.45,overcast clouds,25.6649,88.9247,ARMAN Telecom
305,Kovernino,RU,69.84,overcast clouds,57.1253,43.8142,Welcome
306,Nurota,UZ,80.69,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
307,La Maddalena,IT,77.05,overcast clouds,41.2142,9.4083,Hotel Il Gabbiano
308,Svetlogorsk,BY,73.53,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
309,Yining,CN,77.56,clear sky,29.0361,114.5636,Xiushui Hotel
310,Uddevalla,SE,61.16,clear sky,58.3478,11.9424,Best Western Hotel Carlia
312,Vyara,IN,77.25,overcast clouds,21.1167,73.4,OYO 68448 Crystal Guest House
316,Bontang,ID,75.96,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
317,Janow Lubelski,PL,73.22,moderate rain,50.707,22.4104,Hotel Królewski
318,Buala,SB,77.76,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
319,Zheleznodorozhnyy,RU,71.37,overcast clouds,55.7503,38.0042,Hotel Dali
321,Dalupirip,PH,75.56,heavy intensity rain,16.3258,120.7256,Dalupirip Proper
322,Roma,US,66.06,heavy intensity rain,43.2128,-75.4557,Wingate By Wyndham Rome
323,Isiro,CD,66.02,overcast clouds,2.7739,27.616,Guest House Hewa Bora
324,Bridlington,GB,61.02,clear sky,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
325,Mtwara,TZ,73.98,scattered clouds,-10.2667,40.1833,TIL Hotels Mtwara
327,Kokoshkino,RU,70.9,clear sky,55.5977,37.1695,Guest House Borovskiy
329,Chynadiyovo,UA,74.07,broken clouds,48.4818,22.8217,Vorobey
330,Fukuma,JP,80.1,overcast clouds,33.7667,130.4667,Masago
333,Misratah,LY,87.76,clear sky,32.3754,15.0925,فندق الماسة
337,Kristiinankaupunki,FI,60.89,overcast clouds,62.2743,21.376,Hotel Alma
339,Souillac,MU,70.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
341,Chamba,IN,74.19,clear sky,32.5667,76.1333,NotOnMap - Rafi's House
343,Southbridge,US,80.37,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
344,Betong,TH,71.38,overcast clouds,5.7743,101.0723,New Cathay Hotel
345,Rampura,IN,87.26,broken clouds,30.25,75.2333,Akash
346,Ondjiva,AO,64.31,clear sky,-17.0667,15.7333,SOS Motel
347,Seoul,KR,76.51,overcast clouds,37.5683,126.9778,롯데호텔 서울
349,Biograd Na Moru,HR,86.76,few clouds,43.9433,15.4519,Hotel Palma
350,Kirakira,SB,73.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
351,Maarianhamina,AX,64.26,clear sky,60.0973,19.9348,Park Alandia Hotel
352,Keuruu,FI,62.74,few clouds,62.2667,24.7,Hostelli Nonna
355,Komsomolskiy,UZ,83.12,overcast clouds,40.4272,71.7189,Ikathouse
357,Palaikastron,GR,83.41,clear sky,35.2,26.25,Marina Village
359,Lubao,PH,82.15,light rain,14.9167,120.55,Hacienda Gracia
360,Alice Springs,AU,60.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
362,Moshkovo,RU,63.16,overcast clouds,55.3053,83.6104,Rubin
363,Changtu,CN,70.48,light rain,42.7788,124.0955,Ming Yang Inn
364,Skelleftea,SE,61.16,clear sky,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
365,Kathmandu,NP,71.82,moderate rain,27.7167,85.3167,Hotel Shanker Kathmandu
366,Costinesti,RO,80.02,clear sky,43.95,28.6333,Villa Mar Bella
367,Voi,KE,67.66,scattered clouds,-3.3945,38.563,Voi Wildlife Lodge
368,Hirara,JP,80.74,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
369,Tuban,ID,77.45,clear sky,-6.8976,112.0649,Hotel Mustika
371,Nemuro,JP,65.91,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
372,Surgut,RU,64.58,few clouds,61.25,73.4167,Business Hotel
374,Atherton,GB,64.47,scattered clouds,53.5237,-2.4935,The Lion Inn
375,Mangochi,MW,68.86,few clouds,-14.4782,35.2645,Fort Johnstone Hotel
376,Yuanping,CN,61.86,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
377,Ararat,AM,79.14,overcast clouds,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
379,Sjenica,RS,69.28,clear sky,43.2731,19.9994,MP Company Rooms
381,Maralal,KE,62.55,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
382,Malakal,SS,70.93,light rain,9.5334,31.6605,Nile Palace Hotel
383,Konakovo,RU,63.55,broken clouds,56.7,36.7667,Konakovo hotel
384,Kampene,CD,78.33,overcast clouds,-3.6,26.6667,Paroisse catholique Kampene
388,Yuci,CN,65.95,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
389,Rong Kwang,TH,75.51,overcast clouds,18.339,100.3174,Rong Kwang Hotel
390,Huilong,CN,79.99,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
391,Semey,KZ,75.51,clear sky,50.4111,80.2275,Grand Hotel Semey
392,Nur,PL,61.79,broken clouds,52.6683,22.3221,Agroturystyka nad Bugiem u Krysi
394,Labuhan,ID,77.36,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
